GeneSymbol	OAM091ctrl	OAM093ctrl	OAM094ctrl	OAM091stim	OAM093stim	OAM094stim
GPR19	0	0	3	0	0	0
GPR20	3	1	0	0	2	6
GPR21	0	2	0	0	0	3
GPR22	0	0	0	2	0	0
GPR25	0	0	9	6	0	1
GPR26	0	0	2	0	3	3
GPR27	0	6	16	6	3	0
GPR3	5	6	4	1	0	6
GPR31	0	0	0	0	0	0
GPR32	12	0	3	8	5	6
GPR33	0	6	1	0	0	0
GPR34	0	0	0	0	1	0
GPR35	8	7	1	0	7	3
GPR37	0	3	0	41	0	0
GPR37L1	5	3	0	1	4	0
GPR39	0	0	117	0	0	3
GPR4	6	3	6	2	0	3
GPR45	0	0	0	0	6	0
GPR50	0	3	0	0	0	0
GPR52	0	0	0	0	0	0
GPR55	9	4	0	3	0	0
GPR56	61	2	14	9	35	106
GPR6	0	3	0	0	0	0
GPR61	0	1	0	3	0	0
GPR62	0	0	12	0	0	3
GPR63	6	3	3	0	0	4
GPR64	5	3	5	0	0	2
GPR65	20	6	0	3	0	0
GPR68	1	4	98	85	14	53
GPR75	0	0	1	0	3	0
GPR75-ASB3	1	2	1	3	3	1
GPR78	3	2	7	4	1	0
GPR82	0	3	0	0	0	3
GPR83	6	8	0	0	2	5
GPR84	83	69	11	220	951	133
GPR85	0	0	2	0	0	5
GPR87	0	0	0	3	0	3
GPR88	6	0	0	0	0	0
GPR89A	0	0	2	0	1	0
GPR89B	0	0	3	0	3	3
GPR89C	0	0	2	0	3	1
GPR97	3	21	3060	0	23	106
GPR98	6	7	31	3	4	10
GPRASP1	0	0	0	0	0	0
GPRASP2	0	0	3	0	0	0
GPRC5A	0	0	7	0	89	0
GPRC5B	5	1	3	4	3	1
GPRC5C	7	7	6	13	4	0
GPRC5D	0	0	1	9	0	0
GPRC6A	0	0	0	0	0	0
GPRIN1	2	3	6	15	12	3
GPRIN2	3	9	4	0	1	6
GPRIN3	9	6	0	6	0	3
GPS1	3	11	3	7	34	4
GPS2	154	3	3	14	151	226
GPSM1	5	19	3	2	7	62
GPSM2	2	1	2	2	2	4
GPSM3	36	180	587	100	1691	633
GPT	3	0	0	11	7	3
GPT2	3	0	3	13	15	0
GPX1	105	7	23	324	2531	473
GPX2	0	0	6	0	0	0
GPX3	0	0	0	0	25	122
GPX4	29	27	310	135	753	530
GPX5	0	0	0	0	96	0
GPX6	0	2	0	0	0	0
GPX7	0	3	7	0	2	2
GPX8	0	0	12	3	20	1
GRAMD1A	110	104	391	456	2991	1034
GRAMD1B	134	2	57	3	0	146
GRAMD1C	1	0	2	0	0	0
GRAMD2	2	3	8	1	0	5
GRAMD3	0	3	0	0	1	43
GRAMD4	120	3	8	10	1	6
GRAP	3	0	7	2	4	4
GRAP2	0	0	3	3	33	0
GRAPL	0	3	4	4	1	5
GRASP	37	2	35	23	16	7
GRB10	2	6	6	2	5	89
GRB14	0	1	4	0	3	2
GRB2	213	172	171	1136	1566	657
GRB7	1	4	0	4	0	1
GREB1	0	4	5	1	1	2
GREB1L	11	6	6	10	2	11
GREM1	2	0	3	0	0	0
GREM2	0	9	9	0	3	10
GRHL1	0	0	1	2	1	0
GRHL2	0	1	109	0	2	3
GRHL3	0	2	3	3	0	0
GRHPR	0	0	11	8	0	3
GRIA1	1	0	2	0	25	0
GRIA2	3	0	0	2	2	0
GRIA3	0	0	0	0	2	0
GRIA4	0	1	0	0	1	0
GRID1	5	10	0	2	0	141
GRID1-AS1	0	0	0	0	1	1
GRID2	0	0	1	0	0	0
GRID2IP	7	5	16	4	3	6
GRIK1	6	3	3	3	0	2
GRIK1-AS1	0	0	0	0	0	3
GRIK1-AS2	0	0	0	0	0	0
GRIK2	0	0	0	0	0	0
GRIK3	9	0	8	3	6	17
GRIK4	1	1	2	0	0	1
GRIK5	6	8	6	6	6	6
GRIN1	9	5	12	24	6	0
GRIN2A	2	2	13	6	1	8
GRIN2B	0	0	0	0	2	0
GRIN2C	14	5	7	6	4	3
GRIN2D	41	27	12	11	9	11
GRIN3A	6	0	5	0	6	5
GRIN3B	9	22	15	4	40	4
GRINA	269	1038	1335	2780	7943	2389
GRIP1	0	4	7	3	0	3
GRIP2	9	10	21	9	11	340
GRIPAP1	0	2	5	8	104	2
GRK1	1	0	1	2	0	0
GRK4	6	3	7	1	4	0
GRK5	5	0	4	0	0	0
GRK6	22	34	0	11	464	8
GRK7	1	0	9	0	0	0
GRM1	0	0	0	0	0	6
GRM2	4	37	3	6	11	0
GRM3	0	10	0	3	0	0
GRM4	12	12	7	3	2	14
GRM5	3	2	3	0	3	0
GRM5-AS1	1	0	3	0	0	0
GRM6	0	3	26	2	9	1
GRM7	0	1	0	0	0	0
GRM8	0	0	0	0	0	0
GRN	21	71	332	569	4099	1083
GRP	0	0	1	0	0	1
GRPEL1	6	3	7	14	1203	11
GRPEL2	0	0	7	5	0	3
GRPR	0	2	0	0	0	6
GRSF1	5	14	7	26	22	86
GRTP1	0	4	0	0	1	2
GRWD1	31	3	13	6	37	11
GRXCR1	0	0	0	0	0	0
GRXCR2	2	0	3	0	0	0
GS1-122H1.2	0	0	0	0	0	0
GS1-18A18.1	0	0	3	0	0	3
GS1-204I12.1	0	0	0	2	0	0
GS1-24F4.2	0	0	0	0	0	0
GS1-251I9.4	1	0	28	3	3	0
GS1-259H13.2	0	2	8	7	0	2
GS1-279B7.1	0	0	0	0	0	0
GS1-600G8.3	0	0	1	4	0	0
GSAP	442	58	50	331	38	101
GSC	0	7	3	0	0	0
GSC2	0	3	3	0	2	0
GSDMA	6	2	7	2	2	6
GSDMB	12	0	6	0	0	2
GSDMC	0	1	3	2	3	0
GSDMD	6	8	7	8	2	1
GSE1	15	5	29	6	6	17
GSG1	0	3	3	0	3	0
GSG1L	6	4	9	7	9	6
GSG2	9	3	27	9	3	12
GSK3A	3	8	2	68	17	26
GSK3B	69	41	55	15	321	35
GSKIP	2	3	5	78	56	1
GSN	7	0	1	0	36	3
GSN-AS1	0	0	15	0	30	16
GSPT1	16	6	54	27	6	58
GSPT2	0	0	0	44	0	0
GSR	429	30	118	194	165	20
GSS	3	5	3	2	0	2
GSTA1	0	0	0	0	0	0
GSTA2	0	0	0	0	0	0
GSTA3	3	0	0	0	0	0
GSTA4	0	0	1	0	0	0
GSTA5	0	0	0	0	0	0
GSTA7P	3	0	0	0	0	0
GSTCD	0	0	0	0	0	0
GSTK1	0	0	1	0	40	7
GSTM1	0	0	3	0	0	42
GSTM2	0	0	1	0	0	46
GSTM2P1	0	0	1	2	3	0
GSTM3	0	3	6	5	12	9
GSTM4	0	2	0	0	0	2
GSTM5	1	0	0	0	0	0
GSTO1	19	79	340	31	4115	62
GSTO2	1	0	0	1	0	0
GSTP1	10	0	6	0	316	14
GSTT1	0	0	3	0	7	392
GSTT2	1	5	5	4	4	10
GSTT2B	1	5	5	4	4	9
GSTTP1	0	2	1	0	0	0
GSTTP2	3	0	0	0	0	0
GSTZ1	0	0	7	0	21	0
GSX1	3	9	0	0	0	0
GSX2	0	0	3	9	0	3
GTDC1	3	45	18	32	15	2
GTF2A1	3	28	17	10	139	117
GTF2A1L	1	4	4	0	0	6
GTF2A2	1	0	3	14	17	7
GTF2B	0	0	0	3	50	4
GTF2E1	1	0	3	45	41	0
GTF2E2	5	0	4	0	3	58
GTF2F1	7	22	23	37	331	126
GTF2F2	0	2	4	19	75	0
GTF2H1	2	3	36	3	40	13
GTF2H2	0	1	6	2	17	13
GTF2H2B	8	2	398	74	72	18
GTF2H2C	0	3	2	50	14	12
GTF2H2D	0	3	2	46	10	11
GTF2H3	12	2	4	1	1	3
GTF2H4	1	0	0	1	0	4
GTF2H5	11	3	24	3	11	32
GTF2I	19	10	22	62	51	33
GTF2IP1	23	16	22	78	73	58
GTF2IRD1	12	8	15	7	7	9
GTF2IRD1P1	2	2	9	6	12	23
GTF2IRD2	3	26	16	38	19	12
GTF2IRD2B	18	29	31	49	37	243
GTF3A	0	2	10	218	870	317
GTF3C1	34	20	18	68	336	293
GTF3C2	2	0	24	9	16	4
GTF3C3	33	0	1	0	11	2
GTF3C4	0	3	9	0	0	7
GTF3C5	0	0	394	4	19	57
GTF3C6	46	17	14	0	93	19
GTPBP1	3	17	15	800	782	24
GTPBP10	3	0	2	3	0	6
GTPBP2	17	5	52	419	23	129
GTPBP3	1	2	17	9	4	3
GTPBP4	4	92	2	30	109	44
GTPBP6	3	16	4	43	35	5
GTPBP8	0	2	0	5	4	13
GTSCR1	0	0	0	0	0	1
GTSE1	6	0	5	5	3	0
GTSE1-AS1	3	12	12	0	0	12
GTSF1	1	1	1	1	1	1
GTSF1L	2	0	0	0	0	0
GUCA1A	0	2	8	2	0	4
GUCA1B	7	6	1	2	9	3
GUCA1C	2	0	1	2	0	0
GUCA2A	0	1	2	3	0	0
GUCA2B	0	2	1	0	0	0
GUCD1	14	19	10	3	29	1
GUCY1A2	0	5	6	0	325	9
GUCY1A3	6	0	2	9	5	102
GUCY1B2	2	0	2	13	2	0
GUCY1B3	1	1	0	0	0	1
GUCY2C	0	7	2	5	0	4
GUCY2D	9	21	26	7	8	2
GUCY2EP	3	6	0	0	0	0
GUCY2F	0	0	0	0	0	0
GUCY2GP	5	5	7	0	0	4
GUF1	11	6	0	0	0	2
GUK1	124	68	1087	556	1441	131
GULP1	0	1	0	0	0	0
GUSB	2	3	4	6	9	4
GUSBP1	9	1	12	1	0	1
GUSBP10	0	0	0	1	0	2
GUSBP11	8	4	5	21	25	117
GUSBP2	4	9	6	2	3	1
GUSBP3	29	18	26	9	15	12
GUSBP4	1	0	0	0	57	0
GUSBP5	0	0	0	0	0	0
GUSBP9	1	4	10	2	6	3
GVINP1	0	15	8	0	8	10
GXYLT1	11	21	2	3	11	9
GXYLT2	0	0	8	0	4	3
GYG1	0	3	35	2	15	4
GYG2	0	0	5	3	2	0
GYG2P1	0	0	0	0	0	0
GYLTL1B	7	0	3	2	7	3
GYPA	0	0	0	0	0	0
GYPB	0	0	1	0	0	0
GYPC	23	0	12	297	122	198
GYPE	0	0	1	0	0	0
GYS1	5	16	19	107	304	278
GYS2	0	0	0	2	0	0
GZF1	8	0	0	12	0	0
GZMA	1	31	0	0	41	0
GZMB	5	0	0	1	30	21
GZMH	0	0	0	0	0	0
GZMK	0	0	0	0	0	0
GZMM	1	2	1	0	1	2
H19	3	20	3	0	0	0
H1F0	8	0	28	17	4	58
H1FNT	0	0	6	20	0	0
H1FOO	1	0	4	0	3	9
H1FX	8	162	288	9	622	32
H1FX-AS1	0	1	0	3	1	0
H2AFB1	0	0	0	3	6	0
H2AFB2	0	0	0	3	7	0
H2AFB3	0	0	0	3	6	0
H2AFJ	0	5	0	0	0	3
H2AFV	3	0	2	5	459	13
H2AFX	9	0	7	3	4	5
H2AFY	625	44	0	87	382	40
H2AFY2	8	0	12	0	0	0
H2AFZ	184	1	6	78	21	0
H2BFM	0	0	0	0	0	6
H2BFWT	7	0	0	1	0	0
H2BFXP	3	0	6	0	5	0
H3F3A	157	3	12	138	1253	102
H3F3AP4	156	3	12	138	1253	102
H3F3B	330	486	280	193	2069	618
H3F3C	0	6	3	3	9	0
H6PD	47	23	62	313	91	1674
HAAO	1	3	4	1	3	3
HABP2	2	0	0	0	0	0
HABP4	2	0	7	0	0	1
HACE1	5	2	7	0	2	1
HACL1	0	0	2	3	4	0
HADH	4	6	0	0	0	0
HADHA	5	12	5	184	6	6
HADHB	0	6	58	33	29	12
HAGH	3	8	3	3	44	5
HAGHL	3	5	1	3	0	78
HAL	2	0	7	1	2	5
HAMP	2	0	0	0	2	7
HAND1	3	3	7	0	0	3
HAND2	0	0	3	3	0	0
HAND2-AS1	0	1	0	2	0	0
HAO1	0	0	0	0	0	0
HAO2	0	0	0	0	0	0
HAO2-IT1	0	0	2	0	0	0
HAP1	8	15	12	3	8	0
HAPLN1	9	0	0	0	3	1
HAPLN2	4	14	7	5	1	0
HAPLN3	0	1	6	30	1	18
HAPLN4	9	0	16	4	3	12
HAR1A	6	3	16	7	6	14
HAR1B	0	1	0	12	0	3
HARBI1	9	6	3	4	8	4
HARS	19	0	4	11	981	1
HARS2	3	0	7	2	42	1
HAS1	99	11	10	79	260	51
HAS2	0	0	3	0	0	0
HAS2-AS1	0	0	0	0	0	0
HAS3	0	4	7	5	9	2
HAT1	0	9	7	3	1	0
HAUS1	3	0	5	3	5	8
HAUS2	3	6	21	12	0	18
HAUS3	0	0	8	10	10	148
HAUS4	175	2	12	50	0	10
HAUS5	14	0	11	9	0	5
HAUS6	6	0	42	0	10	35
HAUS7	1	0	0	0	1	1
HAUS8	3	1	5	228	15	2
HAVCR1	2	1	5	2	0	5
HAVCR1P1	0	0	0	0	0	0
HAVCR2	0	1	2	44	75	162
HAX1	73	0	24	17	84	38
HBA1	9	16	2	2223	28	3
HBA2	7	83	5	2252	27	2
HBB	0	0	0	325	12	0
HBBP1	0	0	0	0	0	0
HBD	0	0	0	1	0	0
HBE1	0	0	0	0	0	0
HBEGF	1921	325	414	417	1770	1387
HBG1	0	0	2	0	0	0
HBG2	0	0	2	0	0	1
HBM	9	0	5	2	1	3
HBP1	22	0	2	3	37	6
HBQ1	0	2	0	0	0	0
HBS1L	1	0	3	5	2	4
HBZ	0	6	0	1	5	0
HCAR1	6	2	9	0	3	3
HCAR2	81	0	14	44	16	24
HCAR3	3	40	16	2	21	7
HCCAT3	1	0	0	0	0	0
HCCAT5	0	1	0	3	0	3
HCCS	0	16	0	9	0	1
HCFC1	2	241	659	318	858	586
HCFC1-AS1	0	6	38	20	0	2
HCFC1R1	2	0	4	0	16	4
HCFC2	0	8	1	0	1	4
HCG11	67	3	6	6	0	0
HCG14	1	7	0	0	0	0
HCG17	2	0	2	0	0	0
HCG18	9	3	50	0	29	0
HCG22	4	0	9	1	5	0
HCG23	0	0	0	5	0	0
HCG25	5	3	15	0	11	44
HCG26	0	0	2	6	67	0
HCG27	12	0	0	3	2	0
HCG4	3	0	0	1	4	0
HCG4B	0	0	3	6	0	0
HCG8	6	0	0	0	0	0
HCG9	0	0	0	0	0	0
HCK	42	610	125	345	1109	349
HCLS1	983	294	1125	713	934	1534
HCN1	3	0	0	0	0	5
HCN2	6	1	27	11	5	6
HCN3	4	6	3	14	3	4
HCN4	3	9	12	0	4	2
HCP5	6	0	7	9	27	3
HCRT	0	7	1	0	3	0
HCRTR1	6	1	3	4	1	2
HCRTR2	0	0	3	0	0	0
HCST	0	2	7	1	44	2
HDAC1	1	4	46	117	165	162
HDAC10	9	1	370	0	4	9
HDAC11	0	377	0	3	3	0
HDAC2	15	13	13	113	77	9
HDAC3	41	21	5	0	138	11
HDAC4	22	5	4	20	177	11
HDAC5	5	32	14	13	87	316
HDAC6	0	1	8	16	3	4
HDAC7	9	27	16	34	460	58
HDAC8	0	0	1	0	0	0
HDAC9	0	2	4	2	27	1
HDC	2	0	5	0	0	100
HDDC2	0	5	0	0	0	0
HDDC3	1	1	11	2	5	6
HDGF	118	125	343	625	1979	922
HDGFL1	0	0	0	0	0	0
HDGFRP2	9	5	8	5	38	31
HDGFRP3	7	0	3	2	3	21
HDHD1	0	2	2	2	12	1
HDHD2	0	0	6	1	0	0
HDHD3	9	0	29	6	26	6
HDLBP	57	66	19	356	1337	44
HDX	9	0	0	0	0	0
HEATR1	3	1	48	104	216	8
HEATR2	60	1	5	120	79	317
HEATR3	0	2	12	450	0	429
HEATR4	5	4	4	21	1	1
HEATR5A	112	6	18	16	15	2
HEATR5B	3	3	8	3	4	11
HEATR6	0	0	13	2	0	3
HEBP1	0	0	15	2	64	133
HEBP2	10	0	77	9	211	0
HECA	66	63	27	43	183	30
HECTD1	22	82	22	7	403	43
HECTD2	0	2	0	0	3	0
HECTD3	5	9	4	962	20	9
HECTD4	57	22	21	31	58	16
HECW1	14	0	9	1	2	0
HECW2	1	3	8	0	7	0
HEG1	6	9	10	1	64	7
HEIH	6	0	3	116	356	28
HELB	0	0	7	2	0	2
HELLS	0	1	0	3	0	0
HELQ	2	0	2	2	2	1
HELT	6	0	1	9	74	0
HELZ	11	0	13	15	26	16
HELZ2	20	23	60	301	114	238
HEMGN	0	0	3	0	0	0
HEMK1	36	4	6	16	3	5
HENMT1	0	11	1	13	1	0
HEPACAM	24	0	2	1	0	0
HEPACAM2	1	0	0	0	0	0
HEPH	0	39	3	1	0	1
HEPHL1	5	0	4	0	0	4
HEPN1	24	0	0	0	0	0
HERC1	4	7	32	12	37	57
HERC2	24	8	312	80	70	42
HERC2P10	0	0	0	0	0	0
HERC2P2	44	77	64	62	54	6
HERC2P3	14	17	20	27	14	2
HERC2P4	4	1	253	2	3	3
HERC2P7	20	2	14	23	15	10
HERC2P9	9	3	44	45	2	5
HERC3	23	39	44	36	106	15
HERC4	7	0	1	2	10	4
HERC5	31	1	5	547	2	25
HERC6	0	6	109	1	5	32
HERPUD1	7	2	0	14	2	5
HERPUD2	7	31	6	33	200	86
HES1	5	7	4	13	0	9
HES2	3	9	7	6	19	6
HES3	0	4	0	0	1	0
HES4	5	6	42	38	6	728
HES5	3	3	0	5	6	0
HES6	1	0	0	0	0	0
HES7	3	0	0	3	0	0
HESX1	0	0	1	0	3	0
HEXA	0	3	14	5	165	84
HEXA-AS1	0	6	0	0	2	2
HEXB	0	122	2	159	66	54
HEXDC	0	0	8	4	2	1
HEXIM1	35	26	11	52	155	123
HEXIM2	14	10	14	10	0	7
HEY1	24	50	397	42	905	277
HEY2	0	0	1	0	0	0
HEYL	14	7	5	6	1	0
HFE	0	0	5	0	4	5
HFE2	3	3	2	2	3	1
HFM1	0	0	1	0	0	2
HGC6.3	0	0	0	0	0	0
HGD	0	0	0	7	0	0
HGF	0	1	0	0	0	0
HGFAC	8	8	8	7	4	1
HGS	24	0	17	76	199	65
HGSNAT	38	30	49	88	51	9
HHAT	1	1	0	0	0	0
HHATL	1	3	1	0	0	2
HHEX	0	0	4	0	0	0
HHIP	0	0	0	1	0	0
HHIP-AS1	0	0	0	0	0	0
HHIPL1	2	11	5	0	6	1
HHIPL2	0	30	3	0	3	0
HHLA1	4	1	0	0	0	0
HHLA2	0	0	1	0	0	4
HHLA3	0	0	4	0	0	2
HIAT1	0	1	1	0	2	7
HIATL1	1	11	8	38	73	5
HIATL2	3	12	0	2	14	2
HIBADH	0	0	0	0	0	3
HIBCH	6	9	3	0	0	4
HIC1	36	11	40	21	3	0
HIC2	14	15	7	10	22	2
HID1	7	4	20	6	9	4
HIF1A	620	1109	1980	5349	3790	2107
HIF1A-AS1	173	198	301	894	688	380
HIF1A-AS2	30	23	308	135	522	124
HIF1AN	10	2	29	11	54	12
HIF3A	78	5	31	4	5	5
HIGD1A	0	0	3	0	62	12
HIGD1B	0	0	11	0	5	0
HIGD1C	0	0	0	0	0	1
HIGD2A	8	24	0	70	293	505
HIGD2B	3	0	6	0	3	0
HILPDA	31	5	36	9	267	0
HILS1	0	0	0	0	0	0
HINFP	5	12	34	0	18	1
HINT1	6	0	3	1	692	2
HINT2	0	0	1	0	0	0
HINT3	0	3	0	0	0	51
HIP1	203	59	30	154	554	17
HIP1R	9	6	11	8	24	0
HIPK1	79	14	4	3	21	32
HIPK2	77	53	602	162	532	100
HIPK3	34	15	25	37	79	99
HIPK4	7	3	12	8	8	19
HIRA	4	3	5	8	6	9
HIRIP3	12	12	25	0	1	45
HIST1H1A	3	6	0	0	0	0
HIST1H1B	0	0	0	0	0	0
HIST1H1C	0	2	233	103	0	0
HIST1H1D	2	0	0	0	0	0
HIST1H1E	3	0	8	0	3	26
HIST1H1T	0	0	0	0	0	0
HIST1H2AA	0	0	2	0	0	0
HIST1H2AB	0	2	0	0	2	0
HIST1H2AC	0	0	0	0	0	12
HIST1H2AD	0	0	0	0	0	0
HIST1H2AE	0	0	0	0	0	0
HIST1H2AG	0	0	0	0	9	0
HIST1H2AH	0	0	0	3	0	0
HIST1H2AI	0	0	8	3	0	15
HIST1H2AJ	1	0	3	0	2	9
HIST1H2AK	0	0	3	0	0	0
HIST1H2AL	6	1	2	31	7	86
HIST1H2AM	3	0	0	0	9	0
HIST1H2APS1	0	0	0	0	0	0
HIST1H2BA	0	0	0	2	0	0
HIST1H2BB	0	0	0	0	0	0
HIST1H2BC	0	0	0	2	0	0
HIST1H2BD	0	0	0	0	0	0
HIST1H2BE	6	5	25	14	0	0
HIST1H2BF	0	0	3	0	0	0
HIST1H2BG	0	0	0	0	0	0
HIST1H2BH	0	0	1	1	0	5
HIST1H2BI	0	0	2	0	0	3
HIST1H2BJ	2	0	0	6	3	0
HIST1H2BK	0	3	0	36	37	14
HIST1H2BL	1	0	17	0	1	1
HIST1H2BM	0	1	0	0	0	3
HIST1H2BN	0	5	3	21	0	0
HIST1H2BO	0	0	0	3	0	1
HIST1H3A	0	0	0	0	154	0
HIST1H3B	2	3	0	0	0	0
HIST1H3C	3	0	0	0	0	0
HIST1H3D	2	0	0	0	0	2
HIST1H3E	0	0	0	0	0	0
HIST1H3F	0	0	3	0	0	3
HIST1H3G	0	0	0	3	18	0
HIST1H3H	0	0	0	1	0	0
HIST1H3I	0	0	0	0	0	0
HIST1H3J	0	0	0	0	0	1
HIST1H4A	0	0	0	0	0	0
HIST1H4B	3	0	0	0	6	0
HIST1H4C	4	0	14	0	0	0
HIST1H4D	0	3	0	1	0	0
HIST1H4E	0	0	0	0	0	0
HIST1H4F	0	0	0	0	78	194
HIST1H4G	0	0	6	0	1	0
HIST1H4H	0	3	0	0	0	490
HIST1H4I	0	0	0	1	0	2
HIST1H4J	0	3	0	2	0	0
HIST1H4K	0	0	0	0	0	1
HIST1H4L	6	0	3	0	0	0
HIST2H2AA3	9	11	3	154	460	2
HIST2H2AA4	9	11	3	154	460	2
HIST2H2AB	0	0	3	0	0	2
HIST2H2AC	3	0	0	2	0	2
HIST2H2BA	0	0	0	0	0	0
HIST2H2BC	5	3	11	6	0	3
HIST2H2BE	0	3	10	12	6	3
HIST2H2BF	0	0	0	0	3	2
HIST2H3A	2	3	6	9	3	0
HIST2H3C	2	3	6	9	3	0
HIST2H3D	0	0	6	0	0	4
HIST2H4A	9	0	5	5	5	0
HIST2H4B	9	0	5	5	5	0
HIST3H2A	2	0	10	84	126	240
HIST3H2BB	0	4	0	0	0	0
HIST3H3	0	0	1	0	0	0
HIST4H4	3	0	0	0	3	0
HIVEP1	18	7	4	10	15	5
HIVEP2	12	29	6	50	196	35
HIVEP3	1	7	1	4	4	2
HJURP	0	0	6	0	0	0
HK1	6	4	12	127	90	109
HK2	15	5	274	401	1072	299
HK3	6	4	1	2	2	25
HKDC1	8	6	3	11	5	2
HKR1	2	0	6	6	0	9
HLA-A	1649	1216	4418	2724	11398	8713
HLA-B	1998	2743	23258	8136	26086	28591
HLA-C	830	186	4706	1959	3970	5303
HLA-DMA	0	0	2	15	3	1
HLA-DMB	0	0	0	0	0	0
HLA-DOA	5	0	3	8	0	6
HLA-DOB	0	0	0	0	0	1
HLA-DPA1	0	1	9	0	15	0
HLA-DPB1	309	1	0	145	7	73
HLA-DPB2	1	0	0	0	0	0
HLA-DQA1	0	0	0	5	0	2
HLA-DQA2	0	0	3	0	18	1
HLA-DQB1	9	0	0	0	0	2
HLA-DQB2	1	0	0	2	0	0
HLA-DRA	179	2	229	595	170	498
HLA-DRB1	21	16	2	490	800	0
HLA-DRB5	0	1	1	5	0	0
HLA-DRB6	0	1	0	17	1	0
HLA-E	266	539	968	1465	2351	2413
HLA-F	0	0	39	20	189	146
HLA-F-AS1	0	1	0	0	0	0
HLA-G	13	1	1	0	3	7
HLA-H	47	47	203	84	344	316
HLA-J	0	0	0	6	5	11
HLA-L	23	0	7	6	13	3
HLCS	9	17	117	3	13	8
HLF	3	0	0	0	6	0
HLTF	2	1	0	3	9	0
HLTF-AS1	0	0	5	0	0	0
HLX	67	94	121	208	675	111
HLX-AS1	0	4	22	21	188	0
HM13	119	94	163	557	356	438
HM13-AS1	0	0	7	0	1	0
HMBOX1	1	0	1	12	1	1
HMBS	0	3	12	0	3	2
HMCES	1	4	114	1	0	20
HMCN1	0	3	2	0	5	2
HMG20A	0	0	8	2	0	6
HMG20B	13	0	42	17	4	18
HMGA1	7	8	2	0	420	166
HMGA1P7	0	0	0	0	0	0
HMGA2	3	1	1	2	10	3
HMGB1	37	91	774	384	158	271
HMGB2	1	0	3	7	32	13
HMGB3	8	6	7	3	1	5
HMGB3P1	3	0	3	0	0	0
HMGB4	0	0	0	0	0	0
HMGCL	6	8	4	7	14	16
HMGCLL1	0	0	0	0	0	0
HMGCR	2	3	61	0	47	15
HMGCS1	9	3	3	3	3	0
HMGCS2	0	1	0	0	0	2
HMGN1	3	8	11	35	158	67
HMGN2	103	48	71	85	80	366
HMGN2P46	14	3	6	32	198	6
HMGN3	1	0	2	17	0	12
HMGN3-AS1	3	3	0	0	0	0
HMGN4	33	0	313	0	77	30
HMGN5	0	0	0	0	0	0
HMGXB3	17	55	65	728	493	77
HMGXB4	5	3	130	3	0	8
HMHA1	71	17	105	122	128	40
HMHB1	0	0	0	0	0	0
HMMR	1	1	2	0	1	0
HMOX1	11	32	102	15	22	67
HMOX2	1	9	0	4	5	0
HMP19	15	0	8	0	0	9
HMSD	0	0	0	0	0	0
HMX1	8	0	0	5	2	0
HMX2	3	0	3	0	0	0
HMX3	0	0	1	0	2	0
HN1	34	12	5	411	284	195
HN1L	13	1	2	133	6	12
HNF1A	3	1	108	1	7	4
HNF1A-AS1	3	3	0	728	0	6
HNF1B	0	0	0	6	0	3
HNF4A	3	1	9	0	0	0
HNF4A-AS1	3	0	1	0	0	0
HNF4G	0	0	3	0	3	0
HNMT	0	6	0	0	104	21
HNRNPA0	2	0	104	16	8	5
HNRNPA1	8	12	31	29	20	39
HNRNPA1L2	0	0	0	5	2	2
HNRNPA1P10	0	12	31	21	17	39
HNRNPA1P33	0	0	0	0	0	0
HNRNPA2B1	63	254	123	96	189	371
HNRNPA3	3	20	4	29	334	22
HNRNPA3P1	0	0	0	0	0	9
HNRNPAB	0	3	5	33	182	66
HNRNPC	142	75	328	145	1068	490
HNRNPCL1	0	0	2	0	0	3
HNRNPCP5	0	0	0	0	3	0
HNRNPD	84	0	6	97	213	3
HNRNPDL	3	0	17	115	93	805
HNRNPF	41	41	10	47	481	465
HNRNPH1	11	31	198	61	159	303
HNRNPH2	25	16	66	193	445	350
HNRNPH3	3	11	1	0	42	72
HNRNPK	8	31	69	73	177	423
HNRNPKP3	0	0	0	0	0	0
HNRNPL	22	22	309	56	184	114
HNRNPLL	2	3	8	0	15	3
HNRNPM	79	630	419	932	1132	901
HNRNPR	2	3	8	15	5	4
HNRNPU	300	120	121	473	464	288
HNRNPU-AS1	0	83	6	138	172	160
HNRNPUL1	67	7	50	33	707	238
HNRNPUL2	99	100	965	20	120	123
HNRNPUL2-BSCL2	85	100	973	57	341	116
HOGA1	8	0	4	3	5	5
HOMER1	0	0	0	0	0	0
HOMER2	2	6	2	0	0	1
HOMER3	705	24	16	18	2814	32
HOMEZ	0	3	3	0	0	6
HOOK1	0	0	3	0	0	0
HOOK2	8	4	7	16	7	6
HOOK3	117	83	219	240	477	482
HOPX	2	0	0	0	0	0
HORMAD1	2	0	0	0	0	0
HORMAD2	1	0	0	0	0	0
HOTAIR	1	2	0	2	5	0
HOTAIRM1	0	4	6	1	9	17
HOTTIP	11	3	5	0	3	0
HOXA-AS3	3	5	2	0	20	0
HOXA1	3	0	12	0	0	3
HOXA10	0	0	0	6	0	1
HOXA10-AS	0	0	0	2	0	0
HOXA10-HOXA9	0	0	0	4	0	7
HOXA11	0	6	11	0	1	2
HOXA11-AS	0	0	9	0	1	0
HOXA13	9	3	0	0	12	3
HOXA2	3	3	0	0	0	3
HOXA3	0	0	9	0	3	5
HOXA4	0	9	10	3	6	3
HOXA5	3	0	0	2	3	0
